checked_date,dataset_revision,component,group,hdf5_file_count,source_directory,verification_scope
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,contact,CircleShell,50,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/contact/CircleShell,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,contact,Cross,50,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/contact/Cross,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,contact,Cubehole,50,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/contact/Cubehole,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,contact,Cuboid,50,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/contact/Cuboid,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,contact,Cylinder,50,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/contact/Cylinder,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,contact,Doubleslope,50,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/contact/Doubleslope,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,contact,Hemisphere,50,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/contact/Hemisphere,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,contact,Line,33,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/contact/Line,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,contact,Pacman,50,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/contact/Pacman,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,contact,S,36,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/contact/S,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,contact,Sphere,40,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/contact/Sphere,provider_file_listing_only; payloads_not_validated
