id,source_website,source_page,target_page,resource_type,relevance,citation_class,contact_or_submit_date,status,live_evidence,last_checked,link_rel,direct_link,next_step
C13,Awesome Robot Learning,https://github.com/RayYoh/Awesome-Robot-Learning/blob/master/README.md,https://roboskin.ai/datasets,数据集目录,Robot learning tactile dataset selection,外部维护者正式收录,2026-08-19,已上线,Public README links target; PR 6 previously merged,2026-09-13,nofollow,yes,已收录，不重复提交
C28,Awesome Embodied AI,https://github.com/wadeKeith/Awesome-Embodied-AI/blob/main/README.md,https://roboskin.ai/guides/ros2-tactile-sensing,ROS 2 starter kit,Embodied robotics software toolkits,外部维护者正式收录,2026-08-25,已上线,Public README links target; PR 5 previously merged,2026-09-13,nofollow,yes,已收录，不重复提交
C26,Awesome Dexterous Hands,https://github.com/CyanHaze/Awesome-Dexterous-Hands/pull/1,https://roboskin.ai/datasets,数据集目录,Dexterous hand tactile datasets,待审 PR,2026-08-21,待审,Public GitHub API: state=open; merged=false,2026-09-13,,no,等待维护者，不算正式引用，不重复提交
C29,Open Robotics Discourse,https://discourse.openrobotics.org/t/roboskin-ros-2-tactile-array-starter-kit-message-contract-synthetic-publisher-and-rosbag2-example/57650,https://roboskin.ai/guides/ros2-tactile-sensing,ROS 2 starter kit,Message contract and synthetic recording/replay,社区自发帖,2026-08-25,已上线,Public original topic and September 12 reply; guide link visible,2026-09-13,noopener nofollow ugc,yes,仅响应真实技术问题；本轮不发布
ROS-WEEKLY-57728,ROS weekly roundup,https://discourse.openrobotics.org/t/ros-news-for-the-week-of-august-24th-2026/57728,https://roboskin.ai/guides/ros2-tactile-sensing,ROS 2 starter kit,Weekly ROS community projects,媒体/周报间接提及,,已上线,Roundup links community topic 57650 rather than RoboSkin directly,2026-09-13,,no,保留间接提及，不计直接外链
OWN-KIT,RoboSkin GitHub,https://github.com/roboskin-ai/ros2-tactile-starter-kit,https://roboskin.ai/guides/ros2-tactile-sensing,ROS 2 starter kit,Owned code companion,自有 GitHub 仓库,,已上线,Existing source repository and local README; live rel not rechecked,,unknown,yes,自有分发，不计外部编辑收录
OWN-INDEX,RoboSkin GitHub,https://github.com/roboskin-ai/tactile-research-index/releases/tag/v2026.08.22,https://roboskin.ai/research-index,研究索引,Preserved machine-readable release,自有 GitHub 仓库,,已上线,Public release and downloaded original assets verified,2026-09-13,unknown,yes,保留原发布资产，不为文案改动新建版本
C27,IEEE RAS Robot Learning TC,https://www.ieee-ras.org/robot-learning,https://roboskin.ai/datasets,数据集目录,Robot learning resource suggestion,已发送外联,2026-08-22,已发送,No published-link evidence; historical log records one follow-up on 2026-09-08,2026-09-08,,no,等待答复；本轮未重读邮箱，禁止重复催促
M07,Weekly Robotics,https://weeklyrobotics.com/,https://roboskin.ai/datasets,数据集目录,Original data-comparability article pitch,媒体投稿待回复,2026-08-22,已发送,No published-link evidence; historical log records follow-up on 2026-09-08,2026-09-08,,no,等待答复；本轮未重读邮箱，禁止重复投稿
DRAFT-INDEX,未选择目标媒体,,https://roboskin.ai/research-index,研究索引,Versioned sources for technical reporting,本地草稿,,待准备,,,,no,新版上线后按编辑范围选择单一目标，先核对历史台账
