timestamp_ns,sensor_id,row,column,raw_value,source_valid,usable_value,unit,status
0,teaching_surface,0,0,0.1,1,0.1,normalized,usable
0,teaching_surface,0,1,0.1,1,0.1,normalized,usable
0,teaching_surface,1,0,0.1,1,0.1,normalized,usable
0,teaching_surface,1,1,0.1,1,0.1,normalized,usable
100000000,teaching_surface,0,0,0.2,1,0.2,normalized,usable
100000000,teaching_surface,0,1,0.1,1,0.1,normalized,usable
100000000,teaching_surface,1,0,0.1,1,0.1,normalized,usable
100000000,teaching_surface,1,1,0.1,1,0.1,normalized,usable
200000000,teaching_surface,0,0,0.7,1,0.7,normalized,usable
200000000,teaching_surface,0,1,0.1,1,0.1,normalized,usable
200000000,teaching_surface,1,0,0.1,1,0.1,normalized,usable
200000000,teaching_surface,1,1,0.1,1,0.1,normalized,usable
300000000,teaching_surface,0,0,0.85,1,0.85,normalized,usable
300000000,teaching_surface,0,1,0.1,1,0.1,normalized,usable
300000000,teaching_surface,1,0,0.1,1,0.1,normalized,usable
300000000,teaching_surface,1,1,0.1,1,0.1,normalized,usable
400000000,teaching_surface,0,0,0.95,0,,normalized,invalid_flag
400000000,teaching_surface,0,1,0.1,1,0.1,normalized,usable
400000000,teaching_surface,1,0,0.1,1,0.1,normalized,usable
400000000,teaching_surface,1,1,0.1,1,0.1,normalized,usable
500000000,teaching_surface,0,0,0.8,1,0.8,normalized,usable
500000000,teaching_surface,0,1,0.1,1,0.1,normalized,usable
500000000,teaching_surface,1,0,0.1,1,0.1,normalized,usable
500000000,teaching_surface,1,1,0.1,1,0.1,normalized,usable
600000000,teaching_surface,0,0,0.1,1,0.1,normalized,usable
600000000,teaching_surface,0,1,0.1,1,0.1,normalized,usable
600000000,teaching_surface,1,0,0.1,1,0.1,normalized,usable
600000000,teaching_surface,1,1,,,,normalized,missing_taxel
700000000,teaching_surface,0,0,0.1,1,0.1,normalized,usable
700000000,teaching_surface,0,1,0.1,1,0.1,normalized,usable
700000000,teaching_surface,1,0,0.1,1,0.1,normalized,usable
700000000,teaching_surface,1,1,0.1,1,0.1,normalized,usable
800000000,teaching_surface,0,0,0.1,1,0.1,normalized,usable
800000000,teaching_surface,0,1,,1,,normalized,missing_value
800000000,teaching_surface,1,0,0.1,1,0.1,normalized,usable
800000000,teaching_surface,1,1,0.1,1,0.1,normalized,usable
900000000,teaching_surface,0,0,0.9,1,0.9,normalized,usable
900000000,teaching_surface,0,1,0.1,1,0.1,normalized,usable
900000000,teaching_surface,1,0,0.1,1,0.1,normalized,usable
900000000,teaching_surface,1,1,0.1,1,0.1,normalized,usable
1000000000,teaching_surface,0,0,0.75,1,0.75,normalized,usable
1000000000,teaching_surface,0,1,0.1,1,0.1,normalized,usable
1000000000,teaching_surface,1,0,0.1,1,0.1,normalized,usable
1000000000,teaching_surface,1,1,0.1,1,0.1,normalized,usable
1100000000,teaching_surface,0,0,0.1,1,0.1,normalized,usable
1100000000,teaching_surface,0,1,0.1,1,0.1,normalized,usable
1100000000,teaching_surface,1,0,0.1,1,0.1,normalized,usable
1100000000,teaching_surface,1,1,0.1,1,0.1,normalized,usable
