id,title,url,year,publisher,sourceTitle,sourceUrl,sensorPrinciple,modalities,formFactor,dataOutput,applications,evidence,limitations,reviewedAt
"univtac-platform-encoder-benchmark-2026","UniVTAC separates tactile simulation, representation learning, and policy evaluation","https://roboskin.ai/research/univtac-platform-encoder-benchmark-2026","2026","arXiv","UniVTAC: A Unified Simulation Platform for Visuo-Tactile Manipulation Data Generation, Learning, and Benchmarking","https://arxiv.org/abs/2602.10093","Simulation-generated marker-based visuo-tactile observations encoded by a 512-dimensional ResNet-18 representation model with shape, contact-deformation, marker-position, and relative-pose supervision","simulated marked tactile RGB; simulated marker-free tactile RGB; simulation depth; projected marker coordinates; relative object pose; robot vision and state; physical ViTai GF225 tactile RGB at 30 Hz","Simulated bilateral GelSight Mini on a Franka Panda benchmark configuration plus a separate physical Tianji Marvin arm with bilateral ViTai GF225 sensors","205,826 encoder-pretraining samples; an eight-task benchmark; a pinned public 800-episode HDF5 release; 512-dimensional tactile features; and protocol-bounded simulated and physical policy success rates","visuo-tactile simulation; tactile representation learning; contact-rich robot manipulation; tactile benchmark evaluation; sim-to-real manipulation","preprint","UniVTAC is a February 10, 2026 arXiv v1 preprint. Its 205,826 encoder samples, 400 paper policy-training trajectories, public 800-episode benchmark release, 450 physical demonstrations, and evaluation rollouts are different units. Paper Table I reports 30.9% for vision-only ACT and 48.0% with the UniVTAC Encoder, a 17.1-percentage-point change; hosted checkpoint logs instead average 32.375 and 43.5 and should not be described as reproducing that table. The public workflow currently supports simulated GelSight Mini collection and evaluation, while GF225 and Xense paths remain marked planned or TODO. Repository, dataset, and checkpoint licensing also require separate treatment.","2026-08-22"
"vision-based-tactile-intelligence-robotics-survey-2026","Vision-based tactile intelligence connects sensor optics to robot action","https://roboskin.ai/research/vision-based-tactile-intelligence-robotics-survey-2026","2026","arXiv","Vision-Based Tactile Intelligence for Robotics: Sensing, Learning, and Embodied Manipulation","https://arxiv.org/html/2608.15490v1","Review taxonomy of camera-based tactile sensing that converts compliant-interface deformation into optical images for geometric, force-related, temporal, and learned inference","tactile image; direct contact geometry; model-mediated force-related cues; temporal contact and slip information; vision-touch-language-action alignment","Survey spanning fingertip, manipulator-integrated, miniature, all-around, and large-area vision-based tactile sensor designs","Source-organized map from contact deformation and optical readout through tactile representations, multimodal learning, simulation, datasets, and manipulation policies","vision-based tactile sensing; contact-rich manipulation; tactile representation learning; tactile foundation models; robot skin research mapping","preprint","This August 16, 2026 arXiv v1 source is a review rather than an original controlled benchmark, sensor release, dataset, or model artifact. Its taxonomy synthesizes prior literature and is not an industry standard; individual performance, availability, license, and scale claims still require the cited primary sources. No dedicated official project, code, or dataset link was displayed on the reviewed arXiv record on 2026-08-22.","2026-08-22"
"adept-visuo-tactile-dexterity-rl-2026","ADEPT reports a 3/10 to 8/10 tactile ablation on dexterous insertion","https://roboskin.ai/research/adept-visuo-tactile-dexterity-rl-2026","2026","arXiv","ADEPT reinforcement-learning preprint","https://arxiv.org/abs/2608.19182","Per-finger TacMap encoding of vision-based fingertip penetration depth, thresholded contact, and fingertip position for the Flexiv-Sharpa student only","two RGB camera views; robot proprioception; five fingertip TacMap representations on Flexiv-Sharpa; five fingertip positions on Flexiv-Sharpa; joint-space robot action","Separate fixed-workbench KUKA iiwa7 plus Allegro Hand and Flexiv Rizon plus Sharpa-hand research configurations","Embodiment-specific reinforcement-learning policies mediated by a full joint-configuration-space geometric fabric","dexterous insertion; long-horizon manipulation; visuo-tactile robot learning; zero-shot sim-to-real policy transfer","preprint","The matched tactile comparison is restricted to one Flexiv-Sharpa square-and-round insertion condition with ten physical trials per modality: 3/10 final success for vision-only and 8/10 for visuo-tactile. Each task and embodiment is trained independently; KUKA experiments are vision-only; both systems are fixed workbenches; and no public training code, weights, checkpoint, dataset, or artifact license was verified on 2026-08-22.","2026-08-22"
"prism-contact-rich-industrial-skill-dataset-2026","PRISM maps 5,000+ contact-rich industrial robot trajectories","https://roboskin.ai/research/prism-contact-rich-industrial-skill-dataset-2026","2026","arXiv","PRISM: Precision and contact-rich Real-world Industrial Skill dataset with Multimodal sensing","https://arxiv.org/abs/2608.17962","Synchronized multi-view RGB-D, high-rate force/torque, robot state, and subset-only visuotactile sensing across industrial teleoperation platforms","multi-view RGB; depth; visuotactile image when available; 6DoF force/torque when available; robot joint angle and torque; end-effector pose; gripper state; human control signal; calibration and timestamps","Contact-rich industrial data collection across dual Franka Emika Panda, bimanual Realman RM75-6F, and LEJU upper-body humanoid platforms","5,000+ robot trajectories paired with 5,000 human demonstrations, 45+ hours, and approximately 27M images across visual and visuotactile streams","industrial robot learning; contact-rich manipulation; multimodal policy evaluation; teleoperation data analysis","preprint","The tactile stream covers only an unspecified subset of episodes, and the approximately 27M images combine visual and visuotactile streams. Although the abstract says the dataset is open-sourced, the official project still labels the dataset “soon” and the GitHub repository exposes no dataset files, release, or dataset-file license as of 2026-08-22. Author-reported policy experiments remain tied to selected Realman tasks and are not an independent benchmark.","2026-08-22"
"missing-touch-spatial-tactile-feedback-teleoperation-2026","The Missing Touch tests spatial tactile feedback in robot teleoperation","https://roboskin.ai/research/missing-touch-spatial-tactile-feedback-teleoperation-2026","2026","arXiv","The Missing Touch: Spatially Distributed Tactile Feedback Brings Teleoperation Closer to Human Dexterity","https://arxiv.org/abs/2608.19372","GelSight Mini contact images mapped to a 32-DoF spatially programmable cutaneous fingertip display with bilateral kinesthetic force feedback","vision-based tactile image; binary spatial cutaneous feedback pattern; kinesthetic force feedback; 2D end-effector trajectory; participant questionnaire","Custom 2-DoF leader-follower telemanipulator evaluated with button discrimination and peg rolling","50 Hz trajectories, DTW similarity to direct manipulation, task-specific errors, completion time, variability, and perceived workload","robot teleoperation; haptic feedback; learning-from-demonstration data collection; contact-rich manipulation","preprint","The abstract’s 29–79% reduction refers to deviation between teleoperated and natural trajectories under study-specific DTW comparisons, not autonomous-policy success or a universal dexterity gain. Evidence comes from a 2-DoF device, two tasks, 12 button-task participants and a separate 10-person peg-rolling group; Full feedback was not superior in every corrected comparison, and no autonomous policy was trained or evaluated.","2026-08-22"
"tac4loco-plantar-tactile-humanoid-locomotion-2026","Tac4Loco uses plantar pressure to adapt humanoid locomotion","https://roboskin.ai/research/tac4loco-plantar-tactile-humanoid-locomotion-2026","2026","arXiv","Tac4Loco plantar pressure humanoid locomotion preprint","https://arxiv.org/abs/2608.15766","Topology-preserving ordinal encoding of bilateral plantar pressure with state-conditioned spatial and temporal pressure-proprioception branches","60-element FSR pressure array per foot; proprioception; pressure history; simulated contact force; whole-body joint action","Unitree G1 trained in MJLab simulation and deployed physically with bilateral plantar-pressure insoles","Spatial and temporal plantar-support representations fused into a 50 Hz learned locomotion policy","humanoid locomotion; post-contact terrain adaptation; plantar tactile sensing; sim-to-real control","preprint","Tac4Loco is an arXiv v1 preprint on one Unitree G1 and one bilateral 60-taxel-per-foot FSR layout. Training occurs in simulation; physical comparisons generally use ten trials per configuration; the gravel demonstration is qualitative; and “zero-shot” refers only to the paper’s unseen compliant and granular conditions. Code and experiment configurations are announced for future release, but no dedicated artifact repository or license was verified on 2026-08-22.","2026-08-22"
"softvtbench-deformation-aware-visuo-tactile-dataset-2026","SoftVTBench separates deformable-task completion from contact quality","https://roboskin.ai/research/softvtbench-deformation-aware-visuo-tactile-dataset-2026","2026","arXiv","SoftVTBench deformation-aware visuo-tactile dataset and benchmark preprint","https://arxiv.org/abs/2608.18701","Simulated dual-finger GelSight Mini RGB and marker-motion rendering with evaluator-only FEM deformation state","simulated multi-view RGB; simulated tactile RGB; simulated tactile marker motion; proprioception; language; robot actions; evaluator-only FEM state","Isaac Sim and Isaac Lab deformable-object manipulation with a simulated Franka arm, Panda gripper, and bilateral GelSight Mini profiles","Expert demonstration trajectories plus Task Success Rate, Deformation-aware Success Rate, and normalized deformation traces","deformable-object manipulation; visuo-tactile policy learning; interaction-quality evaluation","preprint","The paper and Hugging Face dataset-card revision fd2793a describe 4,000 demonstrations, while the older GitHub README still lists 1,628 demonstrations and 33 assets; the first-party release documents are not synchronized. All data and evaluation are simulated, no SoftVTBench-specific sim-to-real validation is reported, and DSR is a paper-defined metric rather than an industry standard.","2026-08-22"
"hitac-wam-hierarchical-tactile-world-action-model-2026","HiTac-WAM forecasts contact, deformation, and slip before robot action","https://roboskin.ai/research/hitac-wam-hierarchical-tactile-world-action-model-2026","2026","arXiv","HiTac-WAM hierarchical tactile world action model preprint","https://arxiv.org/abs/2608.19574","Hierarchical tactile forecasting from contact state to 3D deformation and slip risk","video context; robot action chunks; contact state; 3D tactile deformation; slip risk","Contact-rich robot manipulation evaluated on chip grasping, blackboard erasing, and USB insertion","Candidate-conditioned tactile forecasts, task-progress estimates, selected action chunks, and discrepancy-triggered replanning signals","contact-aware planning; tactile world-action modeling; online manipulation correction","preprint","Author-reported evidence from three task-specific real-robot setups and matched training budgets; cross-hardware transfer, independent replication, and a public code or dataset release were not established on the reviewed source page.","2026-08-21"
"t-rex-tactile-reactive-dexterous-manipulation-2026","T-Rex adds high-rate tactile reaction to dexterous robot policies","https://roboskin.ai/research/t-rex-tactile-reactive-dexterous-manipulation-2026","2026","arXiv","T-Rex tactile-reactive dexterous manipulation preprint","https://arxiv.org/abs/2606.17055","Variable-rate visual-language-action modeling with a temporal tactile VQ-VAE","vision; language instruction; robot action; high-frequency tactile signal","Tactile-reactive dexterous manipulation across 12 author-reported tasks","Temporal tactile tokens and action predictions trained with a reported 100-hour collection; the official dataset card now exposes 5,464 episodes and 5,473,459 frames at 30 FPS, approximately 50 hours, in a LeRobot v3.0 subset","delicate force control; deformable-object manipulation; tactile-reactive VLA policies","preprint","The authors report 65% average success for T-Rex versus 35% for EgoScale, an absolute gap of 30 percentage points across 12 tasks with 16 rollouts per task. The result is tied to one Dexmate Vega-1 and Sharpa Wave setup, and the approximately 50-hour public subset is not the complete reported 100-hour training corpus; neither result is an independent cross-platform benchmark.","2026-08-22"
"robotacdex-humanoid-visual-tactile-action-dataset-2026","RoboTacDex maps 6,000+ humanoid visual-tactile trajectories","https://roboskin.ai/research/robotacdex-humanoid-visual-tactile-action-dataset-2026","2026","arXiv","RoboTacDex humanoid visual-tactile-action dataset preprint","https://arxiv.org/abs/2606.31836","Four-view RGB-D synchronized with bilateral fingertip force, self-capacitance proximity, robot states, actions, and semantic annotations","four-view RGB; four-view depth; normal and tangential fingertip force; self-capacitance proximity; robot state; robot action; semantic annotation","Unitree G1 with fixed lower body, dual arms totaling 14 DoF, and two BrainCo Revo2 Tactile hands totaling 12 hand DoF as counted by the paper","More than 6,000 trajectories totaling approximately 25 hours across 19 tasks, an author-reported 23 skills, and 22 objects","humanoid imitation learning; dual-arm dexterous manipulation; visual-tactile-action learning","preprint","The June 2026 v1 preprint says the dataset will be open-sourced soon; no official package, repository, public file format, or dataset license was verified, and evaluation remains tied to one fixed-lower-body Unitree G1 configuration. The text reports 23 skills while Figure 4 exposes 22 discernible atomic-skill labels.","2026-08-22"
