"Check","Question","Evidence to inspect","Decision rule","Your finding","Status","Source URL","Checked date"
"Research task","What will the model predict or control?","Paper task definitions and released labels","Match the learning objective before comparing dataset size.","","Not checked","",""
"Collection platform","Was this collected by a human, physical robot, or simulator?","Hardware section and collection protocol","Human touch and simulation do not by themselves establish target-robot control performance.","","Not checked","",""
"Sensor compatibility","What sensor, geometry, calibration and signal units are used?","Sensor specification and sample records","Document adaptation and calibration work needed for your own sensor.","","Not checked","",""
"Action contract","Are actions present and what do they mean?","Action schema, coordinate frames and controller documentation","Observation-only data cannot be used as robot action labels without a justified mapping.","","Not checked","",""
"Synchronization","How are touch, vision, robot state and actions aligned?","Timestamps, rates, interpolation and dropped-sample handling","Inspect a complete sequence and identify timing assumptions.","","Not checked","",""
"Split design","Which objects, sessions, tasks or robots are held out?","Official split files and evaluation protocol","Choose a split that tests the transfer claim; keep related sequences together.","","Not checked","",""
"Download status","Can you retrieve the required files today?","Official data host, manifest, version and checksums where provided","A paper, repository or dataset card alone does not prove a complete download.","","Not checked","",""
"Reuse terms","Which terms apply to the actual dataset files?","Dataset license and access agreement","A paper license or code license does not automatically license dataset files; mark missing terms as unresolved.","","Not checked","",""
"Minimum loading run","Can you decode one sequence and reproduce its signals?","Small sample, loader, units and dependencies","Record what was actually loaded and what remains untested.","","Not checked","",""
"Evaluation","What counts as success on your target task?","Trial definition, baseline, conditions and failure cases","Do not transfer a paper's score to another robot or compare unlike protocols as one ranking.","","Not checked","",""
"Provenance","Can another reviewer repeat this decision?","Canonical paper, official host and exact reviewed version","Keep source URLs and review dates; distinguish author claims from your own observations.","","Not checked","",""
